decision,Gold_benefits,Platinum_upgrade,Platinum_upgrade_merit,age,female,income,group
0.0,1,0,0,40.583332,1,60000000,0.0
0.0,0,1,0,50.083332,0,60000000,1.0
0.0,0,1,0,54.083332,0,60000000,1.0
0.0,1,0,0,34.083332,0,180000000,0.0
0.0,0,1,0,33.0,0,279000000,1.0
0.0,1,0,0,42.5,1,25000000,0.0
0.0,0,1,0,61.166668,0,60000000,1.0
1.0,0,1,0,44.75,0,60000000,1.0
0.0,0,1,0,64.666664,0,60000000,1.0
0.0,0,0,1,44.666668,1,567000000,2.0
0.0,0,1,0,53.833332,0,60000000,1.0
0.0,0,1,0,45.833332,0,840000000,1.0
0.0,1,0,0,46.25,0,375000000,0.0
0.0,0,1,0,37.583332,1,65000000,1.0
0.0,0,1,0,55.0,1,180000000,1.0
0.0,0,1,0,43.666668,1,60000000,1.0
0.0,0,0,1,36.916668,1,60000000,2.0
0.0,0,0,1,44.333332,0,60000000,2.0
1.0,0,0,1,42.75,0,60000000,2.0
0.0,1,0,0,40.916668,0,60000000,0.0
0.0,1,0,0,36.166668,1,60000000,0.0
0.0,1,0,0,35.666668,0,60000000,0.0
0.0,1,0,0,57.25,1,60000000,0.0
1.0,0,0,1,48.75,0,600000000,2.0
0.0,1,0,0,30.916666,0,60000000,0.0
0.0,0,0,1,33.333332,0,600000000,2.0
0.0,0,1,0,44.25,0,60000000,1.0
0.0,0,1,0,53.416668,0,60000000,1.0
0.0,1,0,0,43.25,1,60000000,0.0
0.0,0,0,1,40.25,0,60000000,2.0
0.0,1,0,0,37.416668,0,306000000,0.0
1.0,0,1,0,52.666668,0,60000000,1.0
0.0,1,0,0,36.0,0,60000000,0.0
1.0,1,0,0,47.75,0,60000000,0.0
0.0,0,1,0,43.75,0,720000000,1.0
0.0,0,0,1,37.0,0,60000000,2.0
0.0,1,0,0,45.083332,0,60000000,0.0
0.0,0,1,0,49.583332,0,306000000,1.0
0.0,0,1,0,60.5,0,60000000,1.0
1.0,1,0,0,55.166668,0,780000000,0.0
0.0,0,1,0,65.916664,1,60000000,1.0
0.0,1,0,0,48.75,0,150000000,0.0
0.0,0,1,0,40.5,0,25000000,1.0
0.0,0,0,1,32.583332,0,300000000,2.0
0.0,0,0,1,38.5,0,351000000,2.0
0.0,0,1,0,50.333332,0,60000000,1.0
0.0,1,0,0,49.0,0,60000000,0.0
0.0,0,1,0,50.083332,0,60000000,1.0
0.0,1,0,0,37.666668,0,529000000,0.0
1.0,1,0,0,33.166668,0,1000000000,0.0
1.0,0,0,1,38.083332,1,180000000,2.0
0.0,0,0,1,51.5,0,345000000,2.0
0.0,1,0,0,37.666668,0,144000000,0.0
0.0,0,1,0,51.666668,0,65000000,1.0
0.0,1,0,0,50.166668,0,300000000,0.0
0.0,0,0,1,49.916668,0,60000000,2.0
0.0,1,0,0,37.25,0,180000000,0.0
1.0,0,1,0,50.333332,0,60000000,1.0
1.0,0,1,0,59.333332,0,25000000,1.0
1.0,0,0,1,52.333332,0,25000000,2.0
0.0,0,1,0,34.333332,1,60000000,1.0
1.0,1,0,0,44.5,0,60000000,0.0
1.0,1,0,0,52.166668,0,25000000,0.0
0.0,0,1,0,48.166668,0,500000000,1.0
0.0,0,0,1,45.0,0,60000000,2.0
0.0,1,0,0,35.5,0,60000000,0.0
0.0,0,1,0,41.75,0,180000000,1.0
0.0,0,0,1,54.916668,1,600000000,2.0
0.0,1,0,0,45.666668,0,60000000,0.0
0.0,1,0,0,58.083332,0,500000000,0.0
0.0,0,0,1,33.5,0,400000000,2.0
0.0,0,0,1,42.666668,0,510000000,2.0
0.0,1,0,0,43.75,0,60000000,0.0
0.0,0,1,0,38.833332,0,425000000,1.0
0.0,0,0,1,54.083332,0,280000000,2.0
0.0,1,0,0,32.083332,0,25000000,0.0
0.0,1,0,0,44.666668,0,60000000,0.0
0.0,0,1,0,43.0,0,180000000,1.0
0.0,0,1,0,51.75,0,180000000,1.0
0.0,1,0,0,48.916668,0,25000000,0.0
0.0,0,0,1,37.416668,1,218000000,2.0
1.0,0,0,1,51.75,0,720000000,2.0
1.0,1,0,0,44.0,0,480000000,0.0
0.0,0,0,1,45.083332,0,60000000,2.0
1.0,1,0,0,49.5,1,60000000,0.0
0.0,1,0,0,48.166668,0,730000000,0.0
0.0,0,0,1,48.166668,0,400000000,2.0
0.0,0,1,0,34.666668,0,411000000,1.0
1.0,0,0,1,35.0,0,60000000,2.0
0.0,0,0,1,31.166666,0,160000000,2.0
0.0,0,1,0,40.75,0,900000000,1.0
0.0,1,0,0,46.25,0,450000000,0.0
0.0,0,1,0,46.666668,0,339000000,1.0
0.0,1,0,0,55.583332,0,421000000,0.0
1.0,1,0,0,63.75,0,1000000000,0.0
1.0,0,0,1,43.5,0,300000000,2.0
0.0,0,1,0,54.916668,0,376000000,1.0
1.0,1,0,0,54.833332,0,60000000,0.0
1.0,0,1,0,37.583332,1,60000000,1.0
0.0,1,0,0,64.666664,0,60000000,0.0
0.0,1,0,0,41.416668,0,60000000,0.0
0.0,0,0,1,48.583332,0,60000000,2.0
0.0,0,1,0,43.083332,0,25000000,1.0
0.0,0,0,1,44.916668,0,60000000,2.0
0.0,0,0,1,38.25,0,900000000,2.0
0.0,0,1,0,48.5,0,260000000,1.0
1.0,1,0,0,30.916666,0,60000000,0.0
0.0,0,1,0,57.833332,0,60000000,1.0
1.0,1,0,0,56.833332,0,1000000000,0.0
0.0,0,0,1,37.5,0,60000000,2.0
0.0,0,0,1,40.666668,0,500000000,2.0
0.0,1,0,0,55.833332,0,60000000,0.0
0.0,0,1,0,49.083332,1,300000000,1.0
0.0,1,0,0,48.583332,0,60000000,0.0
1.0,1,0,0,56.333332,1,1000000000,0.0
1.0,0,1,0,59.833332,0,1000000000,1.0
0.0,0,1,0,57.5,1,60000000,1.0
1.0,0,1,0,60.833332,1,300000000,1.0
0.0,1,0,0,37.0,0,60000000,0.0
0.0,0,0,1,52.166668,0,60000000,2.0
0.0,1,0,0,55.916668,0,60000000,0.0
0.0,0,0,1,61.833332,0,60000000,2.0
0.0,0,0,1,51.916668,1,60000000,2.0
1.0,1,0,0,48.0,0,60000000,0.0
1.0,0,1,0,53.0,0,60000000,1.0
0.0,1,0,0,42.0,1,60000000,0.0
1.0,1,0,0,35.916668,0,300000000,0.0
0.0,1,0,0,47.083332,0,180000000,0.0
0.0,0,1,0,44.166668,0,60000000,1.0
1.0,0,1,0,61.333332,1,3000000000,1.0
0.0,0,1,0,49.083332,0,60000000,1.0
1.0,0,0,1,47.0,0,60000000,2.0
0.0,0,1,0,45.916668,0,60000000,1.0
0.0,1,0,0,42.0,1,60000000,0.0
0.0,1,0,0,51.25,1,60000000,0.0
0.0,0,0,1,42.083332,0,60000000,2.0
0.0,0,0,1,50.5,0,60000000,2.0
0.0,1,0,0,53.583332,0,60000000,0.0
0.0,1,0,0,40.166668,1,360000000,0.0
0.0,1,0,0,40.666668,0,1200000000,0.0
