Product;Like;Buy;Try;Belief;Age;Gender;Education;Income;Politics_1;Duration__in_seconds_;Gender_4_TEXT;Atlantic;Line;id;Group
Burger;4;2;1;90;70;2;8;2;3;203;;1;4;127;Control
Sausages;2;1;0;60;70;2;8;2;3;203;;1;4;127;Control
Nuggets;3;2;0;70;70;2;8;2;3;203;;1;4;127;Control
Meatballs;3;3;1;85;70;2;8;2;3;203;;1;4;127;Control
Burger;6;4;1;75;29;2;7;2;2;298;;1;4;130;Control
Sausages;5;5;1;65;29;2;7;2;2;298;;1;4;130;Control
Nuggets;5;4;1;82;29;2;7;2;2;298;;1;4;130;Control
Meatballs;4;2;0;42;29;2;7;2;2;298;;1;4;130;Control
Burger;4;1;0;35;64;2;7;3;3;151;;1;4;135;Control
Sausages;4;1;0;30;64;2;7;3;3;151;;1;4;135;Control
Nuggets;4;1;0;30;64;2;7;3;3;151;;1;4;135;Control
Meatballs;4;1;0;20;64;2;7;3;3;151;;1;4;135;Control
Burger;6;6;1;100;44;1;7;2;4;109;;1;4;141;Control
Sausages;3;3;1;94;44;1;7;2;4;109;;1;4;141;Control
Nuggets;4;3;1;98;44;1;7;2;4;109;;1;4;141;Control
Meatballs;3;4;1;81;44;1;7;2;4;109;;1;4;141;Control
Burger;5;1;0;80;29;2;7;1;4;308;;1;4;148;Four
Sausages;5;4;1;91;29;2;7;1;4;308;;1;4;148;Four
Nuggets;7;4;1;92;29;2;7;1;4;308;;1;4;148;Four
Meatballs;1;1;0;70;29;2;7;1;4;308;;1;4;148;Four
Burger;2;3;1;30;28;2;7;4;2;108;;1;4;150;Four
Sausages;3;5;1;49;28;2;7;4;2;108;;1;4;150;Four
Nuggets;4;5;1;61;28;2;7;4;2;108;;1;4;150;Four
Meatballs;5;6;1;61;28;2;7;4;2;108;;1;4;150;Four
Burger;3;1;0;95;54;1;7;3;3;129;;1;4;153;Control
Sausages;1;1;0;85;54;1;7;3;3;129;;1;4;153;Control
Nuggets;1;1;0;95;54;1;7;3;3;129;;1;4;153;Control
Meatballs;3;1;0;90;54;1;7;3;3;129;;1;4;153;Control
Burger;4;1;1;35;22;2;7;1;4;347;;1;4;161;Four
Sausages;5;1;1;40;22;2;7;1;4;347;;1;4;161;Four
Nuggets;4;1;1;40;22;2;7;1;4;347;;1;4;161;Four
Meatballs;3;1;1;40;22;2;7;1;4;347;;1;4;161;Four
Burger;4;2;1;81;39;2;6;3;5;147;;1;4;165;Four
Sausages;5;3;1;86;39;2;6;3;5;147;;1;4;165;Four
Nuggets;3;2;1;80;39;2;6;3;5;147;;1;4;165;Four
Meatballs;5;3;1;90;39;2;6;3;5;147;;1;4;165;Four
Burger;3;2;1;40;42;1;7;5;5;130;;1;4;170;Control
Sausages;4;3;1;45;42;1;7;5;5;130;;1;4;170;Control
Nuggets;4;2;1;34;42;1;7;5;5;130;;1;4;170;Control
Meatballs;3;2;1;30;42;1;7;5;5;130;;1;4;170;Control
Burger;6;5;1;61;73;1;7;3;3;197;;1;4;172;Control
Sausages;2;2;0;34;73;1;7;3;3;197;;1;4;172;Control
Nuggets;5;4;1;40;73;1;7;3;3;197;;1;4;172;Control
Meatballs;2;2;0;24;73;1;7;3;3;197;;1;4;172;Control
Burger;5;4;1;44;24;2;7;4;4;872;;1;4;182;Control
Sausages;3;3;0;9;24;2;7;4;4;872;;1;4;182;Control
Nuggets;4;5;1;55;24;2;7;4;4;872;;1;4;182;Control
Meatballs;5;4;0;22;24;2;7;4;4;872;;1;4;182;Control
Burger;3;2;0;52;44;1;7;1;5;156;;1;4;188;Control
Sausages;1;1;0;21;44;1;7;1;5;156;;1;4;188;Control
Nuggets;4;4;1;80;44;1;7;1;5;156;;1;4;188;Control
Meatballs;2;1;0;70;44;1;7;1;5;156;;1;4;188;Control
Burger;6;6;1;49;60;2;5;2;3;201;;1;4;190;Four
Sausages;6;6;1;38;60;2;5;2;3;201;;1;4;190;Four
Nuggets;4;4;0;32;60;2;5;2;3;201;;1;4;190;Four
Meatballs;5;6;1;60;60;2;5;2;3;201;;1;4;190;Four
Burger;5;5;1;75;62;2;4;3;5;138;;1;4;197;Four
Sausages;7;6;1;90;62;2;4;3;5;138;;1;4;197;Four
Nuggets;5;4;1;68;62;2;4;3;5;138;;1;4;197;Four
Meatballs;7;6;1;90;62;2;4;3;5;138;;1;4;197;Four
Burger;6;6;1;80;35;2;4;2;3;152;;1;4;199;Control
Sausages;5;4;1;60;35;2;4;2;3;152;;1;4;199;Control
Nuggets;6;4;1;75;35;2;4;2;3;152;;1;4;199;Control
Meatballs;3;2;1;30;35;2;4;2;3;152;;1;4;199;Control
Burger;5;4;1;70;37;1;8;5;3;172;;1;4;200;Four
Sausages;2;3;1;40;37;1;8;5;3;172;;1;4;200;Four
Nuggets;4;3;1;51;37;1;8;5;3;172;;1;4;200;Four
Meatballs;3;4;1;61;37;1;8;5;3;172;;1;4;200;Four
Burger;4;3;1;81;50;2;7;4;2;171;;1;4;203;Control
Sausages;2;2;1;73;50;2;7;4;2;171;;1;4;203;Control
Nuggets;5;5;1;89;50;2;7;4;2;171;;1;4;203;Control
Meatballs;5;3;1;81;50;2;7;4;2;171;;1;4;203;Control
Burger;4;1;1;100;57;2;4;2;4;255;;1;4;210;Four
Sausages;6;2;1;100;57;2;4;2;4;255;;1;4;210;Four
Nuggets;5;2;1;100;57;2;4;2;4;255;;1;4;210;Four
Meatballs;7;4;1;100;57;2;4;2;4;255;;1;4;210;Four
Burger;2;1;1;82;33;2;7;3;6;148;;1;4;213;Control
Sausages;2;1;1;81;33;2;7;3;6;148;;1;4;213;Control
Nuggets;3;2;1;82;33;2;7;3;6;148;;1;4;213;Control
Meatballs;3;1;1;81;33;2;7;3;6;148;;1;4;213;Control
Burger;6;6;1;63;46;2;5;2;5;139;;1;4;214;Four
Sausages;5;4;1;31;46;2;5;2;5;139;;1;4;214;Four
Nuggets;3;3;1;25;46;2;5;2;5;139;;1;4;214;Four
Meatballs;3;2;0;8;46;2;5;2;5;139;;1;4;214;Four
Burger;6;6;1;85;64;2;8;2;1;156;;1;4;215;Control
Sausages;5;6;1;80;64;2;8;2;1;156;;1;4;215;Control
Nuggets;4;3;0;70;64;2;8;2;1;156;;1;4;215;Control
Meatballs;4;3;0;65;64;2;8;2;1;156;;1;4;215;Control
Burger;6;6;1;79;53;1;7;3;4;213;;1;4;239;Control
Sausages;4;4;1;65;53;1;7;3;4;213;;1;4;239;Control
Nuggets;4;5;1;68;53;1;7;3;4;213;;1;4;239;Control
Meatballs;4;4;1;60;53;1;7;3;4;213;;1;4;239;Control
Burger;4;4;1;78;39;1;4;4;3;156;;1;4;242;Four
Sausages;5;4;1;86;39;1;4;4;3;156;;1;4;242;Four
Nuggets;5;4;1;70;39;1;4;4;3;156;;1;4;242;Four
Meatballs;5;5;1;81;39;1;4;4;3;156;;1;4;242;Four
Burger;7;7;1;75;58;2;5;2;1;164;;1;4;243;Control
Sausages;7;7;1;50;58;2;5;2;1;164;;1;4;243;Control
Nuggets;7;7;1;60;58;2;5;2;1;164;;1;4;243;Control
Meatballs;7;7;1;40;58;2;5;2;1;164;;1;4;243;Control
Burger;2;1;0;30;51;1;8;4;5;152;;1;4;254;Four
Sausages;4;3;1;51;51;1;8;4;5;152;;1;4;254;Four
Nuggets;3;1;1;51;51;1;8;4;5;152;;1;4;254;Four
Meatballs;4;2;1;33;51;1;8;4;5;152;;1;4;254;Four
Burger;1;1;0;51;32;1;8;4;5;116;;1;4;260;Control
Sausages;1;1;1;62;32;1;8;4;5;116;;1;4;260;Control
Nuggets;1;1;0;20;32;1;8;4;5;116;;1;4;260;Control
Meatballs;1;1;0;36;32;1;8;4;5;116;;1;4;260;Control
Burger;4;1;0;92;68;2;8;2;3;185;;1;4;262;Four
Sausages;2;1;0;95;68;2;8;2;3;185;;1;4;262;Four
Nuggets;2;1;0;84;68;2;8;2;3;185;;1;4;262;Four
Meatballs;6;1;0;96;68;2;8;2;3;185;;1;4;262;Four
Burger;6;6;1;90;65;2;4;2;2;189;;1;4;271;Control
Sausages;3;3;1;48;65;2;4;2;2;189;;1;4;271;Control
Nuggets;4;5;1;52;65;2;4;2;2;189;;1;4;271;Control
Meatballs;4;5;1;84;65;2;4;2;2;189;;1;4;271;Control
Burger;2;4;1;80;61;1;7;2;4;129;;1;4;275;Control
Sausages;2;3;1;72;61;1;7;2;4;129;;1;4;275;Control
Nuggets;2;1;1;72;61;1;7;2;4;129;;1;4;275;Control
Meatballs;2;1;0;51;61;1;7;2;4;129;;1;4;275;Control
Burger;3;2;1;25;65;1;4;3;5;284;;1;4;277;Four
Sausages;5;4;1;62;65;1;4;3;5;284;;1;4;277;Four
Nuggets;4;5;1;60;65;1;4;3;5;284;;1;4;277;Four
Meatballs;6;6;1;58;65;1;4;3;5;284;;1;4;277;Four
Burger;2;3;0;43;55;1;5;5;3;321;;1;4;278;Four
Sausages;6;7;1;82;55;1;5;5;3;321;;1;4;278;Four
Nuggets;6;6;1;81;55;1;5;5;3;321;;1;4;278;Four
Meatballs;4;5;1;72;55;1;5;5;3;321;;1;4;278;Four
Burger;5;5;1;66;48;1;5;4;3;140;;1;4;282;Four
Sausages;5;5;1;60;48;1;5;4;3;140;;1;4;282;Four
Nuggets;5;5;1;84;48;1;5;4;3;140;;1;4;282;Four
Meatballs;6;6;1;71;48;1;5;4;3;140;;1;4;282;Four
Burger;5;1;0;76;43;2;5;2;4;266;;1;4;295;Control
Sausages;5;1;0;79;43;2;5;2;4;266;;1;4;295;Control
Nuggets;5;1;0;84;43;2;5;2;4;266;;1;4;295;Control
Meatballs;3;1;0;67;43;2;5;2;4;266;;1;4;295;Control
Burger;4;2;1;72;63;1;6;1;2;198;;1;4;298;Four
Sausages;5;2;1;90;63;1;6;1;2;198;;1;4;298;Four
Nuggets;5;2;1;85;63;1;6;1;2;198;;1;4;298;Four
Meatballs;5;2;1;87;63;1;6;1;2;198;;1;4;298;Four
Burger;5;6;1;92;40;1;7;1;1;254;;1;4;303;Control
Sausages;3;5;1;92;40;1;7;1;1;254;;1;4;303;Control
Nuggets;3;4;1;91;40;1;7;1;1;254;;1;4;303;Control
Meatballs;3;3;1;76;40;1;7;1;1;254;;1;4;303;Control
Burger;6;7;1;60;35;1;7;4;5;106;;1;4;304;Control
Sausages;5;7;1;38;35;1;7;4;5;106;;1;4;304;Control
Nuggets;6;7;1;80;35;1;7;4;5;106;;1;4;304;Control
Meatballs;5;7;1;32;35;1;7;4;5;106;;1;4;304;Control
Burger;3;1;1;61;41;1;7;2;3;164;;1;4;307;Four
Sausages;6;3;1;81;41;1;7;2;3;164;;1;4;307;Four
Nuggets;5;2;1;71;41;1;7;2;3;164;;1;4;307;Four
Meatballs;3;1;1;60;41;1;7;2;3;164;;1;4;307;Four
Burger;5;1;1;82;31;2;8;1;4;265;;1;4;318;Four
Sausages;6;1;1;92;31;2;8;1;4;265;;1;4;318;Four
Nuggets;5;1;1;80;31;2;8;1;4;265;;1;4;318;Four
Meatballs;5;1;1;86;31;2;8;1;4;265;;1;4;318;Four
Burger;6;5;1;93;50;1;7;2;4;184;;1;4;319;Four
Sausages;6;4;1;84;50;1;7;2;4;184;;1;4;319;Four
Nuggets;5;3;1;72;50;1;7;2;4;184;;1;4;319;Four
Meatballs;4;3;1;54;50;1;7;2;4;184;;1;4;319;Four
Burger;5;4;1;60;31;1;4;3;4;106;;2;4;320;Control
Sausages;4;3;0;40;31;1;4;3;4;106;;2;4;320;Control
Nuggets;5;4;1;80;31;1;4;3;4;106;;2;4;320;Control
Meatballs;3;2;0;10;31;1;4;3;4;106;;2;4;320;Control
Burger;6;2;1;71;32;2;5;3;4;198;;1;4;328;Control
Sausages;3;2;1;43;32;2;5;3;4;198;;1;4;328;Control
Nuggets;5;4;1;51;32;2;5;3;4;198;;1;4;328;Control
Meatballs;4;1;1;62;32;2;5;3;4;198;;1;4;328;Control
Burger;4;3;1;84;34;2;7;2;4;105;;1;4;329;Four
Sausages;3;3;1;51;34;2;7;2;4;105;;1;4;329;Four
Nuggets;5;5;1;90;34;2;7;2;4;105;;1;4;329;Four
Meatballs;6;5;1;81;34;2;7;2;4;105;;1;4;329;Four
Burger;5;3;1;44;47;2;7;5;3;235;;1;4;335;Four
Sausages;5;5;1;67;47;2;7;5;3;235;;1;4;335;Four
Nuggets;6;5;1;75;47;2;7;5;3;235;;1;4;335;Four
Meatballs;6;4;1;61;47;2;7;5;3;235;;1;4;335;Four
Burger;5;5;1;80;70;1;7;4;4;150;;1;4;346;Control
Sausages;4;4;1;74;70;1;7;4;4;150;;1;4;346;Control
Nuggets;4;4;1;70;70;1;7;4;4;150;;1;4;346;Control
Meatballs;5;5;1;78;70;1;7;4;4;150;;1;4;346;Control
Burger;2;2;1;86;34;1;6;2;3;106;;1;4;347;Control
Sausages;2;2;1;75;34;1;6;2;3;106;;1;4;347;Control
Nuggets;2;2;1;80;34;1;6;2;3;106;;1;4;347;Control
Meatballs;1;1;1;80;34;1;6;2;3;106;;1;4;347;Control
Burger;4;4;1;63;30;2;8;5;2;311;;1;4;358;Control
Sausages;5;5;1;72;30;2;8;5;2;311;;1;4;358;Control
Nuggets;4;2;1;66;30;2;8;5;2;311;;1;4;358;Control
Meatballs;3;4;1;60;30;2;8;5;2;311;;1;4;358;Control
Burger;4;4;1;80;38;2;4;1;3;243;;1;4;359;Four
Sausages;3;3;1;60;38;2;4;1;3;243;;1;4;359;Four
Nuggets;3;2;1;50;38;2;4;1;3;243;;1;4;359;Four
Meatballs;4;3;1;70;38;2;4;1;3;243;;1;4;359;Four
